playerID,yearID,stint,teamID,lgID,gameDate,hourOfDay,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
judgeaa01,2026,1,NYA,AL,2026-05-25,9,1,4,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0
troutmi01,2026,1,ANA,AL,2026-05-25,10,1,4,1,2,1,0,0,1,1,0,0,1,0,0,0,0,0
ohtansh01,2026,1,ANA,AL,2026-05-25,11,1,4,1,1,0,0,1,2,0,0,1,1,0,0,0,0,0
judgeaa01,2026,1,NYA,AL,2026-05-26,9,1,5,1,2,1,0,0,2,0,0,1,1,0,0,0,0,0
troutmi01,2026,1,ANA,AL,2026-05-26,10,1,4,1,1,0,0,1,2,0,0,1,1,0,0,0,0,0
ohtansh01,2026,1,ANA,AL,2026-05-26,11,1,5,2,2,0,0,1,3,1,0,1,1,0,0,0,0,0
judgeaa01,2026,1,NYA,AL,2026-06-01,9,1,4,2,2,0,0,1,2,0,0,1,1,0,0,0,0,0
troutmi01,2026,1,ANA,AL,2026-06-01,10,1,5,1,2,1,0,0,1,1,0,1,1,0,0,0,0,0
ohtansh01,2026,1,ANA,AL,2026-06-01,11,1,4,1,1,0,0,1,2,0,0,2,1,0,0,0,0,0
judgeaa01,2026,1,NYA,AL,2026-06-02,9,1,5,2,3,1,0,1,3,0,0,1,1,0,0,0,0,0
troutmi01,2026,1,ANA,AL,2026-06-02,10,1,4,2,2,1,0,1,3,0,0,1,0,0,0,0,0,0
ohtansh01,2026,1,ANA,AL,2026-06-02,11,1,5,2,2,1,0,1,4,0,0,1,1,0,0,0,0,0
judgeaa01,2026,1,NYA,AL,2026-06-05,9,1,4,1,1,0,0,0,1,0,0,1,2,0,0,0,0,0
troutmi01,2026,1,ANA,AL,2026-06-05,10,1,4,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0
ohtansh01,2026,1,ANA,AL,2026-06-05,11,1,4,1,1,0,0,1,2,0,0,1,2,0,0,0,0,0
judgeaa01,2026,1,NYA,AL,2026-06-08,9,1,4,1,2,1,0,0,1,0,0,1,1,0,0,0,0,0
troutmi01,2026,1,ANA,AL,2026-06-08,10,1,5,1,3,1,0,0,2,1,0,0,1,0,0,0,0,0
ohtansh01,2026,1,ANA,AL,2026-06-08,11,1,5,2,2,1,0,1,3,1,0,1,1,0,0,0,0,0
judgeaa01,2026,1,NYA,AL,2026-06-09,9,1,5,2,2,0,0,1,2,0,0,1,1,0,0,0,0,0
troutmi01,2026,1,ANA,AL,2026-06-09,10,1,4,2,2,0,0,1,2,0,0,1,0,0,0,0,0,0
ohtansh01,2026,1,ANA,AL,2026-06-09,11,1,5,3,3,1,0,1,4,0,0,1,1,0,0,0,0,0
